protocolName,nodeCount,packetsPerSecond,nodeSpeed,flowRunningTime,comment,network_throughput,avg_end_to_end_delay,packet_drop_ratio,packet_delivery_ratio,total_flows,total_tx_bytes,total_rx_bytes,total_tx_packets,total_rx_packets,total_lost_packets
AODV,100,4,5,20,nodeCount,0.109293212890625,0.11381896172383636,12.506649643579104,73.60357484838813,3486,1058376,716264,18798,13836,2351
AODV,20,100,5,20,packetsPerSecond,0.1096575927734375,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,200,5,20,packetsPerSecond,0.21535400390625,0.009510560616003113,59.84101991060544,39.16598943518895,44,3614804,1411344,39376,15422,23563
AODV,20,300,5,20,packetsPerSecond,0.2336871337890625,0.03280829364717659,70.10695906629444,28.56109784400121,54,5438152,1531492,59462,16983,41687
AODV,20,400,5,20,packetsPerSecond,0.31125091552734374,0.05358907674801338,70.12594709972164,28.74564677393182,50,7284166,2039814,80113,23029,56180
AODV,20,4,10,20,nodeSpeed,0.0045599365234375,0.5641084025513196,31.61131611316113,41.94341943419434,60,73220,29884,813,341,257
AODV,20,4,15,20,nodeSpeed,0.004815673828125,0.0289295710861244,27.98708288482239,44.994617868675995,136,78246,31560,929,418,260
AODV,20,4,20,20,nodeSpeed,0.00555816650390625,0.013803626987704917,26.783867631851088,50.46535677352637,134,80080,36426,967,488,259
AODV,20,4,5,20,nodeCount,0.004462890625,0.0049682084,32.83018867924528,40.88050314465409,48,72400,29248,795,325,261
AODV,20,4,5,20,nodeSpeed,0.004462890625,0.0049682084,32.83018867924528,40.88050314465409,48,72400,29248,795,325,261
AODV,40,4,5,20,nodeCount,0.0243829345703125,0.07689615806581196,11.932833154698107,83.60128617363344,446,200418,159796,2799,2340,334
AODV,70,4,5,20,nodeCount,0.05488677978515625,0.0692418476091305,11.840082009226037,79.43362378267555,1446,488604,359706,7804,6199,924
